Input Size,FC Size,Parameters,Efficient,Channels,Inference (ms),Huber Loss,Efficiency
60,128,"210,273",True,8-16-32,17.98,0.00822,87.17
60,64,"103,585",True,8-16-32,13.33,0.00931,74.48
120,128,"931,169",True,8-16-32,78.69,0.00821,73.14
120,64,"464,033",True,8-16-32,65.54,0.00888,65.22
60,64,"53,377",True,16-16-16,19.06,0.00998,61.47
120,64,"233,601",True,16-16-16,77.58,0.00935,56.91
60,128,"207,251",False,8-16-32,68.11,0.01001,48.71
60,64,"106,643",False,8-16-32,65.45,0.01013,47.43
120,128,"928,147",False,8-16-32,226.72,0.00930,47.32
120,64,"467,091",False,8-16-32,226.54,0.00953,44.02
120,32,"116,529",True,8-16-16,51.96,0.01055,43.66
60,64,"55,523",False,16-16-16,86.07,0.01036,41.42
60,32,"26,417",True,8-16-16,9.96,0.01190,40.20
60,32,"26,049",True,4-8-16,4.86,0.01240,40.00
120,32,"116,161",True,4-8-16,30.90,0.01164,33.07
60,32,"28,931",False,8-16-16,53.26,0.01128,32.99
120,64,"235,747",False,16-16-16,307.39,0.01011,32.79
60,32,"26,795",False,4-8-16,21.97,0.01220,28.27
120,32,"116,907",False,4-8-16,84.97,0.01161,23.73
120,32,"119,043",False,8-16-16,180.25,0.01156,17.09
